Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Kazakhstan,54.0,5.855,5.759469509,9.998175621,0.8917166590000001,61.24000168,0.8398323059999999,-0.18164201100000002,0.876681805,0.726160645,3.08870056,0.17544126,6.58461453,6.0,5.0,72.0,124.0,246.0,12.0,6.8,Asia,7.14,5.833333333,8.978,7.936258324,2177543205.0
Kenya,125.0,4.419,4.547335148,7.864265442000001,0.83141011,56.61999893,0.627654195,0.080638863,0.911273062,0.40184477,5.61369749,0.47236259,1.437000004,4.0,4.0,62.13373171,58.0,22.0,2.0,1.8,Africa,7.09,3.333333333,8.124,7.471570162000001,840072590.0
Latvia,89.0,5.098,5.125025272,9.944048882,0.8511952159999999,65.12000275,0.563811779,-0.04060765,0.894979358,0.191219807,5.42009358,0.01977527,0.7634044714,2.0,2.0,74.12439024,281.0,216.0,62.0,10.5,Europe,7.56,8.333333332999999,9.55,7.841037765,255740342.6
Lithuania,56.0,5.832999999999999,5.771037102,10.08786297,0.918690145,64.90000153,0.503027141,-0.277095586,0.956959248,0.145729542,6.28769059,0.0290491,0.970017859,1.0,1.0,75.1195122,343.0,244.0,56.0,12.9,Europe,7.52,6.666666667,8.634,7.651463462000001,328631681.6
Luxembourg,17.0,6.946000000000001,6.964097023,11.40205193,0.913907707,72.05999756,0.9165209529999999,0.053239107,0.402753204,0.7436705229999999,6.57173956,0.00569604,24.595772903,1.0,1.0,82.22926829,236.0,133.0,271.0,11.4,Europe,7.46,10.0,9.468,7.663719231,237503049.8
Madagascar,147.0,3.681,3.5506095889999996,7.2232594489999995,0.6730883120000001,56.63999939,0.487007886,-0.051045172,0.8535904879999999,0.35005539700000005,3.97327766,0.24234088,0.5174552393999999,3.0,4.0,65.48278049,26.0,15.0,4.0,0.8,Africa,6.48,4.166666667,8.728,6.061053959,68636017.8
Malawi,131.0,4.292,4.279269695,6.946744442000001,0.603725672,52.43999863,0.637362719,0.161339447,0.885784984,0.471810192,8.47896858,0.17573607,0.5186915269,3.0,3.0,63.79685366,8.0,11.0,1.0,1.5,Africa,6.18,4.2,5.746,6.581988966,46155953.69
Malaysia,61.0,5.77,5.914283752,10.02529716,0.841218948,65.91999817,0.8480718140000001,0.002716395,0.846618474,0.761775732,3.54644915,0.30723155,10.962721673,4.0,4.0,74.87517073,13.0,4.0,0.0,0.3,Asia,6.85,6.666666667,9.668,8.539585934,4507252007.0
Mali,138.0,3.995,4.313016891,7.498283862999999,0.823435068,49.11999893,0.7042192820000001,-0.085860699,0.786719501,0.48643791700000005,4.40167302,0.17467905,0.15294133059999998,5.0,4.0,58.45721951,5.0,1.0,1.0,0.6,Africa,5.99,5.0,8.914,6.745592904,148865779.9
Mauritania,124.0,4.436,4.673203945,8.149764061,0.763332725,55.13999939,0.487372756,-0.003726507,0.707005799,0.383974999,3.34404904,0.04182341,0.5017267657,6.0,5.0,63.20282927,0.0,0.0,0.0,0.0,Africa,5.68,4.1666669999999995,9.012,6.27573104,142299912.3
