Country,Region,Population,Happiness_Rank,Happiness_Score,Investment,PR,CL,Life_Expectancy
United Arab Emirates,Middle East and Northern Africa,9154302,20,6.901,8795098707,6,6,77.5412439
United Kingdom,Western Europe,65128861,21,6.867,58450557091,1,1,81.60487805
United States,North America,320896618,15,7.119,3.79E+11,1,1,78.74146341
Uruguay,Latin America and Caribbean,3431552,32,6.485,1369314228,1,1,77.13821951
Uzbekistan,Central and Eastern Europe,31298900,44,6.003,1068393000,7,7,68.45307317
Venezuela,Latin America and Caribbean,31155134,23,6.81,3764000000,5,5,74.40960976
Vietnam,Southeastern Asia,91713300,75,5.36,11800000000,7,5,75.77773171
Yemen,Middle East and Northern Africa,26916207,136,4.077,-15444808.35,7,6,64.03139024
Zambia,Sub-Saharan Africa,16100587,85,5.129,1582666667,3,4,60.78568293
Zimbabwe,Sub-Saharan Africa,15777451,115,4.61,399200000,5,5,59.16107317
